serialNumber,packetType,deviceTime,time,xAxisAcc,yAxisAcc,zAxisAcc,xAxisAngVal,yAxisAngVal,zAxisAngVal,xAxisMagF,yAxisMagF,zAxisMagF,gpsTimeValidity,gpsAltitude,gpsLatitude,gpsLongitude,pressure,temperature
21845,1,1334,209948,0.009806651,0.049033251,0.500139177,-28.58600044,40.31999969,-23.60499954,-7.820000172,1.758999944,-34.93199921,2451,-499,372464160,1266664448,98637.67188,21.66160583
21845,1,1345,210058,0.107873149,0.058839902,0.441299289,-28.85400009,38.77399826,-23.06399918,-2.342999935,1.281999946,-42.00299835,2451,-1098,372464256,1266666240,98644.29688,21.66603088
21845,1,1356,210168,0.049033251,0.117679805,0.451105922,-28.27300072,36.36000061,-24.51300049,-2.358999968,1.284000039,-42.13700104,2451,-1897,372462496,1266666880,98655.42188,21.66477966
21845,1,1366,210268,-0.549172401,-1.657323837,0.892405152,-12.28499985,-7.078999996,10.38500023,0.822000027,2.394999981,-47.58599854,2451,-1949,372460736,1266667264,98662.46875,21.67440796
21845,1,1376,210368,0.696272194,0.686465502,3.775560141,-10.34700012,15.44299984,-32.86100006,2.171000004,3.190999985,-47.84700012,2451,-2352,372459936,1266667776,98798.28125,21.67362976
21845,1,1387,210478,-20.64299965,63.55690002,97.62519836,86.1740036,-35.91500092,-241.3910065,2.128000021,2.871000051,-48.9090004,2451,-2784,372459424,1266668032,98682.95313,21.6725769
21845,1,1397,210578,1.284671187,0.127486452,9.826263428,49.24399948,-0.866999984,-414.980011,2.812999964,-5.861999989,-47.51900101,2451,-3369,372458944,1266668288,98688.64063,21.66564941
21845,1,1413,210738,-2.324176073,-0.245166257,2.304562807,-4.342999935,59.04899979,-493.1239929,44.75799942,-37.76900101,-41.57600021,2452,-3837,372458496,1266668544,98756.78125,21.66439819
21845,1,1424,210848,-2.794895172,-0.480525851,6.305675983,-40.26900101,51.45899963,-465.0669861,75.80699921,-19.82999992,-40.0890007,2452,-3447,372458784,1266668544,98636.25,21.68969727
21845,1,1435,210958,-2.373209238,-3.246001244,5.982056618,13.19999981,66.46399689,-269.946991,77.13500214,19.54400063,-36.07500076,2452,-2928,372458912,1266668672,98678.10938,21.69258118
21845,1,1446,211068,-2.235916138,-3.814786911,6.688135147,43.34400177,151.9779968,-37.36500168,62.52299881,41.28699875,-31.61300087,2452,-2476,372459040,1266668672,98674.75,21.69941711
21845,1,1456,211168,-0.460912555,-5.060231209,3.804980278,54.84199905,133.6300049,31.58399963,57.38299942,44.14599991,-30.41699982,2452,-2480,372459232,1266668800,98673.39063,21.70413208
21845,1,1467,211278,-1.676937222,-4.099179745,1.421964288,-9.831999779,16.58300018,31.60300064,66.53900146,43.66799927,-26.47100067,2452,-1635,372459296,1266668800,98677.0625,21.70768738
21845,1,1477,211378,-1.882876873,-2.471275806,6.629295349,49.33399963,-58.10100174,216.3379974,69.4940033,40.01900101,-25.13299942,2452,-1451,372459424,1266668928,98823.3125,21.71827698
21845,1,1488,211488,-1.470997572,0.598205686,6.060509682,71.2460022,-175.2519989,410.2049866,80.13300323,3.190000057,-35.82099915,2452,-1000,372459520,1266668928,98844.1875,21.72886658
21845,1,1498,211588,-0.686465502,0.872791886,8.639658928,-63.44300079,-130.2160034,328.1919861,62.35699844,-29.67099953,-42.65299988,2452,3597,372459424,1266668928,98841.09375,21.71684265
21845,1,1509,211698,2.079009771,1.902490139,3.569620609,-104.2269974,-32.49100113,299.6700134,28.03700066,-32.84799957,-47.33200073,2453,4256,372459520,1266668928,98904.0625,21.72645569
21845,1,1520,211808,8.620045662,9.139798164,1.980943441,-91.7539978,0.361999989,293.5979919,9.442000389,-16.33200073,-49.96300125,2453,4654,372459648,1266668928,98897.79688,21.71414185
21845,1,1531,211918,0.323619455,-3.471554279,0.882598579,-95.34899902,26.60000038,306.2340088,4.452000141,7.951000214,-49.82099915,2453,4845,372459808,1266668928,98844.42188,21.69152832
21845,1,1541,212018,-2.000556707,-3.030254841,1.510224104,-33.82400131,-3.414999962,310.4719849,13.24300003,29.8560009,-50.61999893,2453,5077,372459904,1266669056,98845.15625,21.69836426
21845,1,1551,212118,-3.295034409,-2.27514267,2.441855907,19.80500031,-41.34799957,268.5750122,31.97800064,38.5870018,-46.29999924,2453,6024,372460032,1266669184,98970.75,21.70375061
21845,1,1561,212218,-3.422520876,-0.284392834,2.059396505,0.915000021,-57.39300156,235.6260071,31.9829998,38.59000015,-46.36800003,2453,6656,372460160,1266669312,99040.875,21.7063446
21845,1,1572,212328,-2.853735209,-1.127764821,27.7920475,-138.0359955,-103.2480011,149.3560028,60.37099838,28.5890007,-47.6609993,2453,6947,372460192,1266669312,99041.78125,21.71298218
21845,1,1582,212428,-2.343789339,-1.637710571,15.77890015,-205.5930023,-110.7040024,107.4840012,60.37099838,28.5890007,-47.77299881,2453,6948,372460256,1266669440,98988.125,21.73117065
21845,1,1593,212538,-1.402351022,-1.304284453,4.658158779,-21.93300056,-63.86500168,258.3439941,60.18299866,31.92300034,-44.43899918,2453,6721,372460320,1266669440,99002.23438,21.71760559
21845,1,1604,212648,-1.412157536,-1.608290672,11.9837265,126.4339981,-131.1889954,282.5450134,60.2159996,31.92300034,-44.30500031,2453,6998,372460384,1266669568,99106.73438,21.71751404
21845,1,1614,212748,0.225552961,-1.451384187,19.03470802,77.68599701,-157.6970062,271.3980103,68.68099976,8.744999886,-48.48300171,2454,7206,372460448,1266669568,99100.8125,21.72077942
21845,1,1629,212898,0.284392834,0.441299289,10.55195522,105.8619995,75.25499725,449.2160034,34.77799988,-20.4640007,-57.22000122,2454,8156,372460672,1266669696,99155.125,21.71711731
21845,1,1639,212998,0.676658869,0.95124507,11.54242802,176.6629944,-5.854000092,405.2309875,34.80500031,-20.46500015,-57.2879982,2454,8452,372460768,1266669696,99156.45313,21.70375061
21845,1,1650,213108,1.000278354,0.872791886,8.865211487,54.96500015,-62.41400146,414.6539917,12.89500046,-13.47799969,-53.41600037,2454,8760,372460832,1266669696,99186.48438,21.68585205
21845,1,1660,213208,1.627903819,0.676658869,4.599318981,-22.30599976,9.949999809,304.9549866,3.617000103,19.70000076,-44.23699951,2454,8935,372460960,1266669696,99208.64063,21.68652344
21845,1,1671,213318,2.235916138,-1.274864435,7.227500916,-7.249000072,61.62400055,205.3419952,3.621999979,19.69799995,-44.37200165,2454,9195,372461088,1266669696,99227.64063,21.67440796
21845,1,1681,213418,1.049311519,-2.088816404,9.35554409,15.08199978,79.60900116,182.7660065,33.47100067,38.4280014,-47.61600113,2454,9724,372461216,1266669696,99224.64063,21.66786194
21845,1,1692,213528,0.019613301,-1.480804086,8.139519691,47.44100189,70.30799866,134.7740021,33.50899887,38.4280014,-47.61600113,2454,10194,372461312,1266669696,99267.60938,21.65794373
21845,1,1702,213628,-1.461190939,-0.598205686,7.727640152,38.86399841,61.94499969,119.1900024,57.89199829,25.5720005,-49.90999985,2454,10705,372461408,1266669696,99320.53125,21.66911316
